title,pubDate,guid,link,description
"Battle for Mykolaiv: 'We are winning this fight, but not this war'","Fri, 11 Mar 2022 19:21:01 GMT",https://www.bbc.co.uk/news/world-europe-60711659,https://www.bbc.co.uk/news/world-europe-60711659?at_medium=RSS&at_campaign=KARANGA,"In the southern city of Mykolaiv, Ukrainian forces are battling to stop the Russian advance."
Ukraine war: Ukrainians mourn their fallen soldiers,"Sat, 12 Mar 2022 00:00:47 GMT",https://www.bbc.co.uk/news/world-europe-60714529,https://www.bbc.co.uk/news/world-europe-60714529?at_medium=RSS&at_campaign=KARANGA,Funerals are held for the first Ukrainian victims of the Ukraine-Russia war.
Roman Abramovich: Chelsea have credit card facilities temporarily suspended,"Fri, 11 Mar 2022 20:01:22 GMT",https://www.bbc.co.uk/sport/football/60714952,https://www.bbc.co.uk/sport/football/60714952?at_medium=RSS&at_campaign=KARANGA,Chelsea's credit card facilities are temporarily suspended while banks assess the implications of the sanctions imposed on Russian billionaire owner Roman Abramovich.
The race is on for affordable energy for the UK's homes and businesses,"Sat, 12 Mar 2022 00:19:48 GMT",https://www.bbc.co.uk/news/uk-politics-60712673,https://www.bbc.co.uk/news/uk-politics-60712673?at_medium=RSS&at_campaign=KARANGA,War in Ukraine has focused minds on how to get enough affordable energy for homes and businesses.
Fears funeral plan reforms could mean thousands lose money,"Sat, 12 Mar 2022 00:51:39 GMT",https://www.bbc.co.uk/news/business-60667173,https://www.bbc.co.uk/news/business-60667173?at_medium=RSS&at_campaign=KARANGA,There is growing concern that tougher regulations for funeral plan providers could hit many customers.
Disney apologises for 'silence' on 'Don't Say Gay' bill,"Fri, 11 Mar 2022 21:39:16 GMT",https://www.bbc.co.uk/news/world-us-canada-60714063,https://www.bbc.co.uk/news/world-us-canada-60714063?at_medium=RSS&at_campaign=KARANGA,"It comes after the BBC is shown a letter which also claims ""gay affection"" is cut from Pixar content."
Transgender children: Texas plan to probe parents halted,"Sat, 12 Mar 2022 01:04:01 GMT",https://www.bbc.co.uk/news/world-us-canada-60710227,https://www.bbc.co.uk/news/world-us-canada-60710227?at_medium=RSS&at_campaign=KARANGA,Parents seeking gender transition for their children may not be investigated for so-called abuse.
France keep Six Nations Grand Slam dream alive,"Fri, 11 Mar 2022 21:56:48 GMT",https://www.bbc.co.uk/sport/rugby-union/60712709,https://www.bbc.co.uk/sport/rugby-union/60712709?at_medium=RSS&at_campaign=KARANGA,France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 13-9 victory over Wales.
England in West Indies: Zak Crawley hits hundred as tourists dominate day four in Antigua,"Fri, 11 Mar 2022 21:59:53 GMT",https://www.bbc.co.uk/sport/cricket/60711815,https://www.bbc.co.uk/sport/cricket/60711815?at_medium=RSS&at_campaign=KARANGA,Zak Crawley hits his second Test hundred as England dominate West Indies on day four of the first Test to set up an outside chance of victory.
Queen pulls out of attending Commonwealth Service,"Fri, 11 Mar 2022 20:43:20 GMT",https://www.bbc.co.uk/news/uk-60715218,https://www.bbc.co.uk/news/uk-60715218?at_medium=RSS&at_campaign=KARANGA,"The Queen will not attend next week's service at Westminster Abbey, Buckingham Palace says."
